258,My Thai,Atlanta,1248 Clairmont Rd.
259,Nava,Atlanta,3060 Peachtree Rd.
260,Nikolai's Roof,Atlanta,255 Courtland St.
261,Nuevo Laredo Cantina,Atlanta,1495 Chattahoochee Ave.
262,Original Pancake House (AT),Atlanta,4330 Peachtree Rd.
263,Palm  The (Atlanta),Atlanta,3391 Peachtree Rd.
264,Pano's & Paul's,Atlanta,1232 W. Paces Ferry Rd.
265,Rainbow Restaurant,Decatur,2118 N. Decatur Rd.
266,Ritz-Carlton Cafe (Atlanta),Atlanta,181 Peachtree St.
267,Ritz-Carlton Cafe (Buckhead),Atlanta,3434 Peachtree Rd.
268,Ritz-Carlton Dining Room (Buckhead),Atlanta,3434 Peachtree Rd.
269,Ritz-Carlton Restaurant,Atlanta,181 Peachtree St.
270,Riviera,Atlanta,519 E. Paces Ferry Rd.
271,Silver Skillet  The,Atlanta,200 14th St.
272,Soto,Atlanta,3330 Piedmont Rd.
273,Thelma's Kitchen,Atlanta,764 Marietta St.
274,Tortillas,Atlanta,774 Ponce de Leon Ave.
275,Toulouse,Atlanta,293-B Peachtree Rd.
276,Van Gogh's Restaurant & Bar,Roswell,70 W. Crossville Rd.
277,Veggieland,Atlanta,220 Sandy Springs Circle
278,Veni Vidi Vici,Atlanta,41 14th St.
279,White House Restaurant,Atlanta,3172 Peachtree Rd.
280,Zab-E-Lee,College Park,4837 Old National Hwy.
281,Alain Rondelli,San Francisco,126 Clement St.
282,Aqua,San Francisco,252 California St.
283,Bill's Place,San Francisco,2315 Clement St.
284,Boulevard,San Francisco,1 Mission St.
285,Cafe Claude,San Francisco,7 Claude Ln.
286,Cafe Flore,San Francisco,2298 Market St.
287,Caffe Greco,San Francisco,423 Columbus Ave.
288,Campo Santo,San Francisco,240 Columbus Ave.
289,Campton Place,San Francisco,340 Stockton St.
290,Cha Cha Cha's,San Francisco,1805 Haight St.
291,Chez Michel,San Francisco,804 North Point St.
292,Doidge's,San Francisco,2217 Union St.
293,Dottie's True Blue Cafe,San Francisco,522 Jones St.
294,Dusit Thai,San Francisco,3221 Mission St.
295,Ebisu,San Francisco,1283 Ninth Ave.
296,Emerald Garden Restaurant,San Francisco,1550 California St.
297,Eric's Chinese Restaurant,San Francisco,1500 Church St.
298,Fleur de Lys,San Francisco,777 Sutter St.
299,Fringale,San Francisco,570 Fourth St.
300,Hamburger Mary's,San Francisco,1582 Folsom St.
301,Hawthorne Lane,San Francisco,22 Hawthorne St.
302,Kelly's on Trinity,San Francisco,333 Bush St.
303,Khan Toke Thai House,San Francisco,5937 Geary Blvd.
304,La Cumbre,San Francisco,515 Valencia St.
305,La Folie,San Francisco,2316 Polk St.
306,La Mediterranee,San Francisco,288 Noe St.
307,La Taqueria,San Francisco,2889 Mission St.
308,LuLu Restaurant-Bis-Cafe,San Francisco,816 Folsom St.
309,Mario's Bohemian Cigar Store Cafe,San Francisco,2209 Polk St.
310,Marnee Thai,San Francisco,2225 Irving St.
311,Masa's,San Francisco,648 Bush St.
312,Mel's Drive-In,San Francisco,3355 Geary St.
313,Mifune,San Francisco,1737 Post St.
314,Mo's Burgers,San Francisco,1322 Grant St.
315,Phnom Penh Cambodian Restaurant,San Francisco,631 Larkin St.
316,PlumpJack Cafe,San Francisco,3127 Fillmore St.
317,Postrio,San Francisco,545 Post St.
318,Ritz-Carlton Dining Room (San Francisco),San Francisco,600 Stockton St.
319,Roosevelt Tamale Parlor,San Francisco,2817 24th St.
320,Rose Pistola,San Francisco,532 Columbus Ave.
321,Sally's Cafe & Bakery,San Francisco,300 De Haro St.
322,San Francisco BBQ,San Francisco,1328 18th St.
323,Slanted Door,San Francisco,584 Valencia St.
324,Swan Oyster Depot,San Francisco,1517 Polk St.
325,Thep Phanom,San Francisco,400 Waller St.
326,Ti Couz,San Francisco,3108 16th St.
327,Trio Cafe,San Francisco,1870 Fillmore St.
328,Tu Lan,San Francisco,8 Sixth St.
329,Vicolo Pizzeria,San Francisco,201 Ivy St.
330,Wa-Ha-Ka Oaxaca Mexican Grill,San Francisco,2141 Polk St.
